"RMSE";"Rsquared";"MAE";"Model";"Floor";"Building";"LongLat";"approach"
12,2040102440644;0,797725094108735;5,38244214217411;"kknn";"F2";"B1";"Lat";"OnlyTrain"
8,78581833570209;0,950246221592301;4,13932772241847;"kknn";"F2";"B1";"Long";"OnlyTrain"
10,0010793593038;0,853999200202085;6,51433074964942;"glmnet";"F2";"B1";"Lat";"OnlyTrain"
13,0404538063666;0,902984500811512;9,42529500414913;"glmnet";"F2";"B1";"Long";"OnlyTrain"
8,77881111680776;0,891574775572722;4,48705312053789;"rf";"F2";"B1";"Lat";"OnlyTrain"
5,45624099972466;0,980790779139126;3,45604505617461;"rf";"F2";"B1";"Long";"OnlyTrain"
9,21693492885587;0,882286057199322;4,27763310295164;"knn";"F2";"B1";"Lat";"OnlyTrain"
7,62757949307999;0,962118697795908;3,88429698652201;"knn";"F2";"B1";"Long";"OnlyTrain"
5,49860936073526;0,956363332930106;2,65332417782376;"kknn";"F0";"B1";"Lat";"OnlyTrain"
9,76305693568774;0,828751713533409;3,63937646902466;"kknn";"F0";"B1";"Long";"OnlyTrain"
8,72862210300165;0,88381315113067;6,37618119147404;"glmnet";"F0";"B1";"Lat";"OnlyTrain"
9,71554001360835;0,830208361039172;6,57063461256533;"glmnet";"F0";"B1";"Long";"OnlyTrain"
4,53790128715384;0,966637815822364;2,67777975872849;"rf";"F0";"B1";"Lat";"OnlyTrain"
7,42643408247325;0,902419099050133;3,49905824162249;"rf";"F0";"B1";"Long";"OnlyTrain"
6,3634470544889;0,94658797728517;2,87057705131906;"knn";"F0";"B1";"Lat";"OnlyTrain"
10,2534804292006;0,80545563143188;3,37923443153744;"knn";"F0";"B1";"Long";"OnlyTrain"
7,19608733724764;0,905980055525379;2,84750861600535;"kknn";"F3";"B1";"Lat";"OnlyTrain"
7,70598002925298;0,970612273436635;3,3302334970286;"kknn";"F3";"B1";"Long";"OnlyTrain"
10,9616171084326;0,800133233834503;6,35480644006825;"glmnet";"F3";"B1";"Lat";"OnlyTrain"
12,148898430388;0,937373978680171;8,49723189361476;"glmnet";"F3";"B1";"Long";"OnlyTrain"
6,57231924084694;0,921463329176554;3,19836717102035;"rf";"F3";"B1";"Lat";"OnlyTrain"
6,52037978797407;0,978719012645169;2,9814248834093;"rf";"F3";"B1";"Long";"OnlyTrain"
6,2294672900455;0,933118016169213;2,93448530608134;"knn";"F3";"B1";"Lat";"OnlyTrain"
5,88620970703142;0,98268313315584;2,92575195532245;"knn";"F3";"B1";"Long";"OnlyTrain"
4,5969400055824;0,957333100315815;2,07391687707393;"kknn";"F3";"B2";"Lat";"OnlyTrain"
4,66343326354984;0,968570334396122;2,22780073671158;"kknn";"F3";"B2";"Long";"OnlyTrain"
8,83674796828872;0,844877210346737;6,89790884392862;"glmnet";"F3";"B2";"Lat";"OnlyTrain"
8,94421824124918;0,885074920023201;6,42767014009585;"glmnet";"F3";"B2";"Long";"OnlyTrain"
3,30905802277797;0,978052166579501;1,85143415861201;"rf";"F3";"B2";"Lat";"OnlyTrain"
3,87427433623344;0,978673370410346;2,10372611433725;"rf";"F3";"B2";"Long";"OnlyTrain"
2,78296620782854;0,984190944413709;1,628947843934;"knn";"F3";"B2";"Lat";"OnlyTrain"
3,57764541238541;0,981387426511629;1,86511574011216;"knn";"F3";"B2";"Long";"OnlyTrain"
